1	9578764	1.068e-12
1	9712333	1.826e-10
1	10535255	2.578e-09
2	151819486	5.557e-09
1	34803816	6.562e-09
1	9989264	8.288e-09
28	4801422	9.269e-09
4	75095515	1.147e-08
4	59652037	1.468e-08
10	4972519	1.736e-08
1	9735008	1.826e-08
chrZ	56633612	2.635e-08
1	10535140	2.932e-08
7	1898111	5.753e-08
20	9305772	7.272e-08
1	141885883	7.815e-08
1	136326945	9.853e-08
20	5839359	1.086e-07
20	5863668	1.299e-07
1	150874714	1.341e-07
3	55572527	1.611e-07
1	9720681	1.638e-07
1	12040285	1.775e-07
2	11125491	1.908e-07
27	2256404	1.983e-07
27	6337765	2.128e-07
4	70990269	2.439e-07
27	6338273	2.696e-07
1	8534083	2.906e-07
1	143255938	2.942e-07
27	6338717	2.947e-07
chrZ	56577086	3.211e-07
chrZ	76902283	3.438e-07
3	42509027	3.498e-07
chrZ	34494267	3.886e-07
33	5872304	4.692e-07
11	18081116	5.014e-07
5	59146944	5.429e-07
1	127434985	5.476e-07
2	60078242	5.513e-07
2	90753051	6.223e-07
1	47193795	6.281e-07
1	152808101	6.367e-07
1	151320219	6.456e-07
1	146138012	6.681e-07
2	8731488	6.737e-07
3	18994872	6.988e-07
1	122578173	7.414e-07
1	154623982	7.469e-07
11	14188422	9.312e-07
3	58218830	9.426e-07
3	59518980	9.499e-07
3	31250977	1.012e-06
20	8490512	1.017e-06
1	32814825	1.299e-06
1	94851351	1.376e-06
4	61261639	1.463e-06
2	144479102	1.466e-06
1	9712524	1.498e-06
1	196431754	1.505e-06
4	75035199	1.592e-06
chrZ	36857856	1.638e-06
4	60819362	1.814e-06
chrZ	57821923	1.86e-06
2	129685738	1.883e-06
1	9705203	1.885e-06
24	4153056	1.902e-06
17	8471921	2.028e-06
36	1869926	2.032e-06
chrZ	68980666	2.075e-06
2	8617209	2.086e-06
1	152812928	2.167e-06
7	33642315	2.175e-06
6	2659112	2.176e-06
1	20984946	2.222e-06
2	12033927	2.263e-06
5	17073392	2.264e-06
3	104113331	2.401e-06
1	9710456	2.975e-06
