chr1	8576000	8579000	CB	CK	2	68	34	CB_CK
chr1	8576000	8579000	CB	CU3	2	15	7.5	CB_CU3
chr1	8576000	8579000	CB	TN	1	30	30	CB_TN
chr1	8576000	8579000	CB	WB	1	75	75	CB_WB
chr1	8576000	8579000	CB	WJ	1	33	33	CB_WJ
chr1	8576000	8579000	CB	WY	1	106	106	CB_WY
chr1	8576000	8579000	CB	WZ	1	99	99	CB_WZ
chr1	8576000	8579000	CK	CU3	1	8	8	CK_CU3
chr1	8576000	8579000	CK	TN	1	15	15	CK_TN
chr1	8576000	8579000	CK	WB	1	25	25	CK_WB
chr1	8576000	8579000	CK	WJ	1	14	14	CK_WJ
chr1	8576000	8579000	CK	WY	1	22	22	CK_WY
chr1	8576000	8579000	CK	WZ	1	21	21	CK_WZ
chr1	8576000	8579000	CU3	TN	1	13	13	CU3_TN
chr1	8576000	8579000	CU3	WB	1	19	19	CU3_WB
chr1	8576000	8579000	CU3	WJ	1	9	9	CU3_WJ
chr1	8576000	8579000	CU3	WY	1	11	11	CU3_WY
chr1	8576000	8579000	CU3	WZ	1	9	9	CU3_WZ
chr1	8576000	8579000	LA	WJ	1	25	25	LA_WJ
chr1	8576000	8579000	LA	WY	1	92	92	LA_WY
chr1	8576000	8579000	LA	WZ	1	91	91	LA_WZ
chr1	8576000	8579000	LD	WB	1	38	38	LD_WB
chr1	8576000	8579000	TN	WB	1	45	45	TN_WB
chr1	8576000	8579000	TN	WJ	2	55	27.5	TN_WJ
chr1	8576000	8579000	TN	WY	1	27	27	TN_WY
chr1	8576000	8579000	TN	WZ	1	31	31	TN_WZ
chr1	8577000	8580000	CB	CK	3	99	33	CB_CK
chr1	8577000	8580000	CB	CU3	3	23	7.66667	CB_CU3
chr1	8577000	8580000	CB	LA	2	222	111	CB_LA
chr1	8577000	8580000	CB	LD	2	205	102.5	CB_LD
chr1	8577000	8580000	CB	TN	1	30	30	CB_TN
chr1	8577000	8580000	CB	WB	2	149	74.5	CB_WB
chr1	8577000	8580000	CB	WJ	1	33	33	CB_WJ
chr1	8577000	8580000	CB	WY	1	106	106	CB_WY
chr1	8577000	8580000	CB	WZ	2	197	98.5	CB_WZ
chr1	8577000	8580000	CK	CU3	5	42	8.4	CK_CU3
chr1	8577000	8580000	CK	LA	2	79	39.5	CK_LA
chr1	8577000	8580000	CK	LD	2	140	70	CK_LD
chr1	8577000	8580000	CK	TN	2	32	16	CK_TN
chr1	8577000	8580000	CK	WB	1	25	25	CK_WB
chr1	8577000	8580000	CK	WJ	1	14	14	CK_WJ
chr1	8577000	8580000	CK	WY	2	45	22.5	CK_WY
chr1	8577000	8580000	CK	WZ	3	66	22	CK_WZ
chr1	8577000	8580000	CU3	LA	2	29	14.5	CU3_LA
chr1	8577000	8580000	CU3	TN	3	44	14.6667	CU3_TN
chr1	8577000	8580000	CU3	WB	3	62	20.6667	CU3_WB
chr1	8577000	8580000	CU3	WJ	4	48	12	CU3_WJ
chr1	8577000	8580000	CU3	WY	1	11	11	CU3_WY
chr1	8577000	8580000	CU3	WZ	2	17	8.5	CU3_WZ
chr1	8577000	8580000	LA	LD	3	411	137	LA_LD
chr1	8577000	8580000	LA	WB	1	64	64	LA_WB
chr1	8577000	8580000	LA	WJ	2	49	24.5	LA_WJ
chr1	8577000	8580000	LA	WY	3	274	91.3333	LA_WY
chr1	8577000	8580000	LA	WZ	3	272	90.6667	LA_WZ
chr1	8577000	8580000	LD	WB	2	77	38.5	LD_WB
